timestamp,sample_rate,frame_size,rms,peak,mean,std,zero_crossings
17.6,8000,320,0.010952182114124298,0.0418701171875,-0.0014484405983239412,0.010855980217456818,69
17.64,8000,320,0.009201262146234512,0.0281982421875,0.0014301299815997481,0.00908944196999073,54
17.68,8000,320,0.008459066040813923,0.0228271484375,-0.0007801055908203125,0.008423018269240856,58
17.72,8000,320,0.009236779063940048,0.0238037109375,0.0017959594260901213,0.00906049832701683,52
17.76,8000,320,0.010153022594749928,0.0301513671875,0.0005336761241778731,0.010138986632227898,52
17.8,8000,320,0.011173074133694172,0.0321044921875,-0.0017047881847247481,0.011042250320315361,52
17.84,8000,320,0.007553661707788706,0.0228271484375,-0.0004924774402752519,0.007537590339779854,67
17.88,8000,320,0.011061474680900574,0.0360107421875,0.0001663207949604839,0.01106022484600544,64
17.92,8000,320,0.014608449302613735,0.0477294921875,0.0004623412969522178,0.014601130969822407,54
17.96,8000,320,0.01856292597949505,0.0457763671875,0.0014560699928551912,0.018505731597542763,31
18.0,8000,320,0.012982671149075031,0.0360107421875,-0.00010910034325206652,0.012982212007045746,43
18.04,8000,320,0.011583558283746243,0.0321044921875,-0.0005218505975790322,0.011571795679628849,56
18.08,8000,320,0.010893668048083782,0.0281982421875,-0.0003112792910542339,0.010889220051467419,78
18.12,8000,320,0.011482242494821548,0.0399169921875,0.0004764556942973286,0.011472352780401707,69
18.16,8000,320,0.010431116446852684,0.0321044921875,-0.0002616882266011089,0.010427833534777164,74
18.2,8000,320,0.013083193451166153,0.0457763671875,0.0020153045188635588,0.012927046045660973,60
18.24,8000,320,0.014926722273230553,0.0379638671875,-0.0022991180885583162,0.014748596586287022,32
18.28,8000,320,0.008109251037240028,0.0267333984375,-0.0004570007440634072,0.0080963633954525,66
18.32,8000,320,0.010124249383807182,0.0301513671875,0.0009140014881268144,0.010082907974720001,61
18.36,8000,320,0.011086713522672653,0.0321044921875,-2.212524486822076e-05,0.011086691170930862,44
18.4,8000,320,0.010488155297935009,0.0281982421875,0.0012351989280432463,0.010415165685117245,44
18.44,8000,320,0.011909394524991512,0.0360107421875,-0.0022151947487145662,0.011701563373208046,34
18.48,8000,320,0.010086008347570896,0.0257568359375,-0.0003124237118754536,0.010081169195473194,52
18.52,8000,320,0.008776812814176083,0.0267333984375,0.0011104583973065019,0.008706280030310154,49
18.56,8000,320,0.011160650290548801,0.0340576171875,-0.0002655029238667339,0.01115749217569828,72
18.6,8000,320,0.015612051822245121,0.0457763671875,0.00012969970703125,0.015611511655151844,33
18.64,8000,320,0.013793429359793663,0.0379638671875,-0.0009407043689861894,0.013761313632130623,36
18.68,8000,320,0.01918708346784115,0.0555419921875,-0.0002273559512104839,0.019185736775398254,29
18.72,8000,320,0.011874844320118427,0.0340576171875,-0.00095367431640625,0.011836486868560314,40
18.76,8000,320,0.013319763354957104,0.0418701171875,-0.0005126952892169356,0.013309892266988754,46
18.8,8000,320,0.01318220142275095,0.0379638671875,0.0018379210960119963,0.01305344793945551,58
18.84,8000,320,0.01258532702922821,0.0399169921875,0.0001712799130473286,0.012584161013364792,48
18.88,8000,320,0.010023875162005424,0.0321044921875,-0.0022262572310864925,0.009773527272045612,60
18.92,8000,320,0.006917797029018402,0.0198974609375,3.204345557605848e-05,0.00691772298887372,94
18.96,8000,320,0.01085371058434248,0.0301513671875,0.0023105621803551912,0.01060492079705,60
19.0,8000,320,0.011157647706568241,0.0360107421875,-0.0006374359363690019,0.01113942451775074,52
19.04,8000,320,0.014116944745182991,0.0477294921875,-8.0108642578125e-05,0.01411671843379736,53
19.08,8000,320,0.014095274731516838,0.0360107421875,0.0003787994501180947,0.01409018412232399,42
19.12,8000,320,0.012864925898611546,0.0418701171875,0.00011405944678699598,0.01286442019045353,43
19.16,8000,320,0.008538584224879742,0.0257568359375,-8.354186866199598e-05,0.008538175374269485,57
19.2,8000,320,0.1367122381925583,0.4725341796875,-0.0027942657470703125,0.13668368756771088,55
19.24,8000,320,0.032973311841487885,0.1190185546875,0.0015537261497229338,0.03293668478727341,60
19.28,8000,320,0.01816626824438572,0.0643310546875,-0.0008190154912881553,0.018147796392440796,35
19.32,8000,320,0.01568109355866909,0.0457763671875,-0.0038291930686682463,0.015206380747258663,61
19.36,8000,320,0.041438028216362,0.0955810546875,0.005596923641860485,0.04105830565094948,23
19.4,8000,320,0.03524623066186905,0.0838623046875,-9.422302537132055e-05,0.0352461040019989,24
19.44,8000,320,0.021521994844079018,0.0574951171875,-0.004284667782485485,0.02109117992222309,26
19.48,8000,320,0.019737394526600838,0.0418701171875,0.0015666962135583162,0.0196751169860363,35
19.52,8000,320,0.013313955627381802,0.0360107421875,-0.0001388549862895161,0.01331323105841875,52
19.56,8000,320,0.01139815617352724,0.0321044921875,0.0011516570812091231,0.011339825578033924,55
19.6,8000,320,0.00902937725186348,0.0281982421875,7.705688767600805e-05,0.00902904849499464,55
19.64,8000,320,0.009736518375575542,0.0228271484375,-0.0003524780331645161,0.009730136021971703,63
19.68,8000,320,0.009610961191356182,0.0281982421875,-0.0008937835809774697,0.009569311514496803,64
19.72,8000,320,0.007132085971534252,0.0198974609375,0.0001262664736714214,0.007130968384444714,82
19.76,8000,320,0.008545243181288242,0.0267333984375,0.000423431396484375,0.008534745313227177,59
19.8,8000,320,0.009944011457264423,0.0267333984375,0.0017921447288244963,0.0097811846062541,54
19.84,8000,320,0.013770896010100842,0.0379638671875,-0.0010437011951580644,0.01373128779232502,38
19.88,8000,320,0.009970125742256641,0.0301513671875,-0.000522613525390625,0.009956419467926025,64
19.92,8000,320,0.009569195099174976,0.0257568359375,0.0023368834517896175,0.009279465302824974,65
19.96,8000,320,0.014873309060931206,0.0516357421875,-0.00271263113245368,0.014623849652707577,42
20.0,8000,320,0.011195255443453789,0.0379638671875,0.0016380309825763106,0.011074773967266083,39
20.04,8000,320,0.009671219624578953,0.0281982421875,-0.00019187926955055445,0.009669316932559013,58
20.08,8000,320,0.010519907809793949,0.0281982421875,-0.00019950866408180445,0.01051801536232233,54
20.12,8000,320,0.011383553966879845,0.0399169921875,0.00015907287888694555,0.011382441967725754,60
20.16,8000,320,0.013420267961919308,0.0418701171875,0.0005023956182412803,0.013410860672593117,51
20.2,8000,320,0.00915229506790638,0.0281982421875,0.0001369476376567036,0.009151270613074303,114
20.24,8000,320,0.00832388736307621,0.0208740234375,-0.0004413604619912803,0.00831217784434557,93
20.28,8000,320,0.012446370907127857,0.0418701171875,0.0004421234189067036,0.01243851613253355,57
20.32,8000,320,0.008942726068198681,0.0281982421875,0.0005077362293377519,0.008928300812840462,60
20.36,8000,320,0.01506681926548481,0.0457763671875,-0.0011001586681231856,0.015026599168777466,49
20.4,8000,320,0.011750440113246441,0.0438232421875,0.0006042480235919356,0.01173489447683096,61
20.44,8000,320,0.015648484230041504,0.0399169921875,0.0013778686989098787,0.015587705187499523,42
20.48,8000,320,0.0086463438346982,0.0208740234375,-0.0005794524913653731,0.008626905269920826,57
20.52,8000,320,0.008939439430832863,0.0247802734375,0.00203285226598382,0.008705233223736286,50
20.56,8000,320,0.011578690260648727,0.0301513671875,-0.0013416290748864412,0.011500700376927853,46
20.6,8000,320,0.01323514524847269,0.0418701171875,0.0006267547723837197,0.013220296241343021,47
20.64,8000,320,0.009759008884429932,0.0238037109375,-6.408691115211695e-05,0.009758798405528069,49
20.68,8000,320,0.009390118531882763,0.0267333984375,-0.0005298614269122481,0.009375156834721565,57
20.72,8000,320,0.011224181391298771,0.0301513671875,0.0009063720935955644,0.01118752546608448,57
20.76,8000,320,0.016187161207199097,0.0457763671875,-0.0007106781122274697,0.01617155410349369,36
20.8,8000,320,0.01258055493235588,0.0360107421875,-0.0016983032692223787,0.012465396896004677,44
20.84,8000,320,0.014672975987195969,0.0360107421875,-0.0003185272216796875,0.014669517986476421,46
20.88,8000,320,0.014554980210959911,0.0360107421875,-0.0004688262997660786,0.01454742718487978,35
20.92,8000,320,0.016861774027347565,0.0399169921875,-0.0002452850458212197,0.0168599896132946,36
20.96,8000,320,0.009425916709005833,0.0267333984375,0.0013336181873455644,0.009331096895039082,69
21.0,8000,320,0.011171028017997742,0.0301513671875,0.0010372161632403731,0.01112277153879404,58
21.04,8000,320,0.012151404283940792,0.0477294921875,-0.0023811340797692537,0.011915822513401508,56
21.08,8000,320,0.011479780077934265,0.0301513671875,0.0002025604189839214,0.011477993801236153,47
21.12,8000,320,0.009784877300262451,0.0399169921875,-0.0003032684326171875,0.009780175983905792,53
21.16,8000,320,0.012728522531688213,0.0360107421875,0.0015670775901526213,0.012631689198315144,76
21.2,8000,320,0.011412509717047215,0.0340576171875,0.0005065918085165322,0.011401260271668434,66
21.24,8000,320,0.015259431675076485,0.0418701171875,-0.0008785247919149697,0.01523412112146616,57
21.28,8000,320,0.015276052057743073,0.0379638671875,-0.0006736755603924394,0.015261190943419933,49
21.32,8000,320,0.01281927153468132,0.0360107421875,-7.629394644936838e-07,0.01281927153468132,54
21.36,8000,320,0.011860493570566177,0.0379638671875,0.0015476227272301912,0.01175908837467432,60
21.4,8000,320,0.014206873252987862,0.0457763671875,-0.0007152557373046875,0.014188856817781925,39
21.44,8000,320,0.012081253342330456,0.0340576171875,-0.0015594481956213713,0.011980184353888035,41
21.48,8000,320,0.007773462682962418,0.0228271484375,0.0008522033458575606,0.0077266083098948,76
21.52,8000,320,0.015081989578902721,0.0477294921875,8.239746239269152e-05,0.015081764198839664,43
21.56,8000,320,0.016394436359405518,0.0418701171875,0.000240325927734375,0.016392674297094345,21
21.6,8000,320,0.010486305691301823,0.0379638671875,2.708435022213962e-05,0.010486271232366562,47
21.64,8000,320,0.009917947463691235,0.0301513671875,-0.0013072967994958162,0.009831411764025688,42
21.68,8000,320,0.012870934791862965,0.0379638671875,0.0006248474237509072,0.012855758890509605,50
21.72,8000,320,0.016163507476449013,0.0457763671875,0.0011035918723791838,0.016125787049531937,34
21.76,8000,320,0.013365386985242367,0.0399169921875,0.0019145965343341231,0.013227543793618679,41
21.8,8000,320,0.01449468545615673,0.0379638671875,-0.0017940520774573088,0.014383229427039623,46
21.84,8000,320,0.013035819865763187,0.0360107421875,-0.0027942657470703125,0.01273281965404749,41
21.88,8000,320,0.009905871003866196,0.0281982421875,0.0005035400390625,0.009893065318465233,56
21.92,8000,320,0.007389429956674576,0.0189208984375,0.0002964019658975303,0.007383482996374369,49
21.96,8000,320,0.009657502174377441,0.0267333984375,0.0008960723644122481,0.009615841321647167,52
22.0,8000,320,0.01408569049090147,0.0360107421875,-0.0001735687255859375,0.014084621332585812,36
22.04,8000,320,0.015550664626061916,0.0399169921875,0.00011329651169944555,0.015550252050161362,38
22.08,8000,320,0.00999761838465929,0.0321044921875,-0.0014568328624591231,0.0098909055814147,61
22.12,8000,320,0.011247212067246437,0.0281982421875,0.000743865966796875,0.01122258510440588,48
22.16,8000,320,0.009150488302111626,0.0379638671875,0.0007953643798828125,0.009115856140851974,64
22.2,8000,320,0.015552308410406113,0.0457763671875,-0.0007198333623819053,0.01553564053028822,58
22.24,8000,320,0.012849878519773483,0.0496826171875,-0.0004096984921488911,0.01284334622323513,74
22.28,8000,320,0.009428282268345356,0.0301513671875,-0.00186920166015625,0.0092411357909441,71
22.32,8000,320,0.011921056546270847,0.0321044921875,0.0013866424560546875,0.011840135790407658,55
22.36,8000,320,0.01074932049959898,0.0379638671875,0.0002075195370707661,0.010747317224740982,51
22.4,8000,320,0.008614635095000267,0.0218505859375,-0.0011859893565997481,0.00853260513395071,61
22.44,8000,320,0.009005622938275337,0.0267333984375,0.0003211974981240928,0.008999893441796303,50
22.48,8000,320,0.008692777715623379,0.0267333984375,-0.0005062103155069053,0.008678026497364044,67
22.52,8000,320,0.010596755892038345,0.0301513671875,0.000885009765625,0.010559734888374805,52
22.56,8000,320,0.012067255564033985,0.0360107421875,-0.0001522064267192036,0.012066295370459557,43
22.6,8000,320,0.010292405262589455,0.0257568359375,0.0008777618641033769,0.010254909284412861,57
22.64,8000,320,0.00859912857413292,0.0247802734375,0.00011863708641612902,0.008598309941589832,53
22.68,8000,320,0.007164478302001953,0.0228271484375,-0.0003578186151571572,0.0071555376052856445,66
22.72,8000,320,0.01402513962239027,0.0360107421875,0.0020545958541333675,0.013873830437660217,35
22.76,8000,320,0.009782514534890652,0.0281982421875,-0.00069427490234375,0.009757845662534237,64
22.8,8000,320,0.008404914289712906,0.0257568359375,9.231567673850805e-05,0.008404407650232315,67
22.84,8000,320,0.008908310905098915,0.0247802734375,-0.0006950378301553428,0.008881155401468277,60
22.88,8000,320,0.00906237680464983,0.0257568359375,-1.029968279908644e-05,0.009062371216714382,58
22.92,8000,320,0.011109573766589165,0.0321044921875,0.0001827240048442036,0.01110807154327631,36
22.96,8000,320,0.012652359902858734,0.0321044921875,0.0005420685047283769,0.012640741653740406,28
23.0,8000,320,0.009643221274018288,0.0257568359375,4.272460864740424e-05,0.009643127210438251,40
23.04,8000,320,0.0095527870580554,0.0301513671875,0.0004776000860147178,0.009540840052068233,53
23.08,8000,320,0.009321494027972221,0.0238037109375,-0.00164031982421875,0.009176034480333328,61
23.12,8000,320,0.008451606146991253,0.0301513671875,0.0015701294178143144,0.008304477669298649,79
23.16,8000,320,0.011892830021679401,0.0399169921875,0.00080108642578125,0.011865817941725254,61
23.2,8000,320,0.012051105499267578,0.0360107421875,-0.0008209228399209678,0.012023111805319786,121
23.24,8000,320,0.011648711748421192,0.0281982421875,-0.0003753662167582661,0.01164266187697649,63
23.28,8000,320,0.010834844782948494,0.0379638671875,-0.0006652831798419356,0.010814400389790535,58
23.32,8000,320,0.0121037308126688,0.0360107421875,0.0006004333263263106,0.012088829651474953,31
23.36,8000,320,0.009603744372725487,0.0301513671875,0.002075576689094305,0.009376773610711098,47
23.4,8000,320,0.009083681739866734,0.0247802734375,-0.0004131317255087197,0.00907428190112114,49
23.44,8000,320,0.008502744138240814,0.0247802734375,-0.0001125335693359375,0.008502000011503696,57
23.48,8000,320,0.008595667779445648,0.0238037109375,-0.0006305694696493447,0.008572506718337536,52
